category,num_products,avg_actual_price,avg_discounted_price,avg_discount_percentage,avg_rating,total_reviews
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,1,747.0,688.0,8.0,4.5,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,1,635.0,635.0,0.0,4.3,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,1,11495.0,5999.0,48.0,4.3,534
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,7,580.5714285714286,387.42857142857144,31.428571428571427,3.6714285714285713,750
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,3,2132.6666666666665,999.0,53.333333333333336,4.033333333333333,871
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,1,1295.0,587.0,55.0,4.1,557
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",24,1179.5,762.1666666666666,34.25,4.129166666666666,341
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",12,4139.083333333333,3071.25,23.833333333333332,4.033333333333333,1382
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",22,1061.6363636363637,505.6363636363636,51.31818181818182,4.036363636363636,3802
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",3,9329.333333333334,5229.0,44.333333333333336,4.2,467
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",1,500.0,253.0,49.0,4.3,0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",4,7448.25,5399.0,28.25,4.175000000000001,0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",8,5059.375,2780.375,37.75,3.4499999999999997,3471
